BatchID,BatchNumber,MedicineID,SupplierID,ExpiryDate,QuantityReceived,QuantityOnHand,CostPrice,SellingPrice
1,BT01-2026-0001,1,1,2026-01-25,175,57,59.07,69.44
2,BT01-2025-0002,1,5,2026-09-28,66,3,46.23,55.85
3,BT01-2026-0003,1,5,2025-07-29,416,332,216.37,271.52
4,BT01-2025-0004,1,4,2027-08-26,464,445,21.82,29.49
5,BT02-2026-0001,2,4,2026-12-14,129,55,288.02,355.46
6,BT02-2025-0002,2,1,2026-01-24,233,216,116.31,141.45
7,BT02-2026-0003,2,1,2026-04-15,243,20,174.57,236.95
8,BT02-2025-0004,2,5,2026-07-07,410,35,32.83,39.62
9,BT03-2026-0001,3,1,2025-08-26,244,71,146.95,199.64
10,BT03-2025-0002,3,2,2027-01-14,157,68,216.51,285.99
11,BT03-2026-0003,3,1,2027-03-17,323,125,65.75,81.85
12,BT04-2026-0001,4,5,2026-08-12,481,393,237.28,286.46
13,BT04-2025-0002,4,1,2027-05-20,187,16,79.08,109.58
14,BT04-2026-0003,4,3,2027-02-03,252,226,276.07,349.15
15,BT04-2025-0004,4,3,2025-11-21,431,287,170.91,228.46
16,BT05-2026-0001,5,5,2027-02-12,162,35,162.67,190.77
17,BT05-2025-0002,5,1,2025-10-22,371,81,241.78,303.56
18,BT05-2026-0003,5,1,2027-07-30,355,239,168.15,234.19
19,BT06-2026-0001,6,1,2027-11-29,443,328,115.25,140.99
20,BT06-2025-0002,6,2,2026-04-09,419,368,93.75,119.54
21,BT07-2026-0001,7,5,2026-04-18,480,327,162.15,194.54
22,BT07-2025-0002,7,3,2025-06-14,356,165,156.81,184.72
23,BT08-2026-0001,8,3,2025-09-02,173,145,285.15,334.03
24,BT08-2025-0002,8,4,2025-09-10,115,84,153.08,197.08
25,BT08-2026-0003,8,3,2027-12-23,158,138,231.47,306.11
26,BT09-2026-0001,9,3,2027-02-12,274,264,146.42,177.46
27,BT09-2025-0002,9,1,2025-12-12,351,283,84.43,101.74
28,BT09-2026-0003,9,1,2026-12-25,167,17,273.52,373.33
29,BT09-2025-0004,9,1,2026-12-10,192,171,155.92,200.33
30,BT10-2026-0001,10,5,2028-02-11,174,121,246.1,294.73
31,BT10-2025-0002,10,1,2028-05-05,231,108,135.11,184.55
32,BT10-2026-0003,10,1,2026-11-20,81,51,223.9,302.3
33,BT10-2025-0004,10,1,2026-03-13,147,137,145.61,182.81
34,BT11-2026-0001,11,4,2025-09-12,276,50,34.16,47.82
35,BT11-2025-0002,11,1,2025-10-05,135,104,155.98,187.71
36,BT11-2026-0003,11,4,2025-08-31,244,0,295.89,359.89
37,BT12-2026-0001,12,3,2027-09-07,129,48,103.08,143.51
38,BT12-2025-0002,12,5,2026-07-09,432,160,36.01,46.67
39,BT12-2026-0003,12,5,2026-12-27,79,65,42.43,50.77
40,BT13-2026-0001,13,1,2027-05-24,256,61,283.65,366.59
41,BT13-2025-0002,13,5,2026-08-31,367,41,137.38,178.03
42,BT13-2026-0003,13,5,2026-11-19,154,80,86.83,108.45
43,BT13-2025-0004,13,3,2027-04-13,434,37,22.61,29.51
44,BT14-2026-0001,14,1,2025-09-15,309,135,57.09,70.63
45,BT14-2025-0002,14,1,2026-09-07,195,40,142.69,183.47
46,BT14-2026-0003,14,3,2026-09-18,391,283,103.83,136.62
47,BT14-2025-0004,14,2,2025-09-27,104,95,174.9,213.04
48,BT15-2026-0001,15,2,2026-06-18,401,324,258.82,330.35
49,BT15-2025-0002,15,3,2025-02-21,374,216,252.22,292.83
50,BT15-2026-0003,15,3,2026-05-13,132,113,174.47,219.3
51,BT15-2025-0004,15,1,2025-04-24,403,76,172.77,234.73
