SaleItemID,SaleID,BatchID,QuantitySold,UnitPrice,SubTotal
1,1,28,9,373.33,3359.97
2,1,18,16,234.19,3747.04
3,1,11,4,81.85,327.4
4,1,4,3,29.49,88.47
5,2,29,2,200.33,400.66
6,2,5,5,355.46,1777.3
7,2,32,5,302.3,1511.5
8,2,38,19,46.67,886.73
9,3,5,18,355.46,6398.28
10,3,13,14,109.58,1534.12
11,3,8,20,39.62,792.4
12,4,42,13,108.45,1409.85
13,4,30,15,294.73,4420.95
14,5,16,10,190.77,1907.7
15,5,46,19,136.62,2595.78
16,5,32,20,302.3,6046.0
17,5,26,2,177.46,354.92
18,6,42,7,108.45,759.15
19,7,14,3,349.15,1047.45
20,7,39,6,50.77,304.62
21,8,11,3,81.85,245.55
22,8,31,6,184.55,1107.3
23,9,26,15,177.46,2661.9
24,10,16,10,190.77,1907.7
25,10,4,15,29.49,442.35
26,10,13,3,109.58,328.74
27,10,40,8,366.59,2932.72
28,11,43,7,29.51,206.57
29,11,38,14,46.67,653.38
30,11,32,4,302.3,1209.2
31,12,38,9,46.67,420.03
32,12,10,5,285.99,1429.95
33,13,4,6,29.49,176.94
34,14,37,19,143.51,2726.69
35,14,41,10,178.03,1780.3
36,14,45,15,183.47,2752.05
37,15,28,10,373.33,3733.3
38,16,14,15,349.15,5237.25
39,16,30,3,294.73,884.19
40,16,31,20,184.55,3691.0
41,16,29,2,200.33,400.66
42,17,41,1,178.03,178.03
43,17,18,3,234.19,702.57
44,17,37,8,143.51,1148.08
45,17,14,19,349.15,6633.85
46,18,42,9,108.45,976.05
47,19,42,6,108.45,650.7
48,20,30,6,294.73,1768.38
49,20,38,19,46.67,886.73
50,20,28,14,373.33,5226.62
51,20,14,16,349.15,5586.4
52,21,29,12,200.33,2403.96
53,22,18,6,234.19,1405.14
54,22,39,11,50.77,558.47
55,22,8,14,39.62,554.68
56,22,46,16,136.62,2185.92
57,23,39,18,50.77,913.86
58,23,25,2,306.11,612.22
59,23,45,15,183.47,2752.05
60,24,18,9,234.19,2107.71
61,25,8,17,39.62,673.54
62,25,42,1,108.45,108.45
63,25,25,18,306.11,5509.98
64,26,26,12,177.46,2129.52
65,26,4,20,29.49,589.8
66,26,12,16,286.46,4583.36
67,26,30,15,294.73,4420.95
68,27,12,9,286.46,2578.14
69,28,16,16,190.77,3052.32
70,28,28,4,373.33,1493.32
71,29,38,20,46.67,933.4
72,30,40,10,366.59,3665.9
73,30,11,18,81.85,1473.3
74,31,31,14,184.55,2583.7
75,32,13,4,109.58,438.32
76,33,8,16,39.62,633.92
77,33,38,10,46.67,466.7
78,33,45,17,183.47,3118.99
79,33,10,9,285.99,2573.91
80,34,45,18,183.47,3302.46
81,34,29,5,200.33,1001.65
82,34,13,13,109.58,1424.54
83,34,28,7,373.33,2613.31
84,35,46,9,136.62,1229.58
85,35,5,14,355.46,4976.44
86,36,43,1,29.51,29.51
87,36,30,10,294.73,2947.3
88,36,14,10,349.15,3491.5
89,37,46,16,136.62,2185.92
90,37,10,12,285.99,3431.88
91,37,28,11,373.33,4106.63
92,37,31,18,184.55,3321.9
93,38,28,8,373.33,2986.64
94,38,18,19,234.19,4449.61
95,38,46,13,136.62,1776.06
96,38,12,8,286.46,2291.68
97,39,4,13,29.49,383.37
98,39,18,13,234.19,3044.47
99,39,41,5,178.03,890.15
100,39,29,16,200.33,3205.28
101,40,10,17,285.99,4861.83
102,41,46,4,136.62,546.48
103,41,8,17,39.62,673.54
104,41,28,15,373.33,5599.95
105,42,41,5,178.03,890.15
106,43,46,16,136.62,2185.92
107,43,38,9,46.67,420.03
108,43,10,11,285.99,3145.89
109,43,5,20,355.46,7109.2
110,44,38,18,46.67,840.06
111,44,5,13,355.46,4620.98
112,44,46,11,136.62,1502.82
113,44,18,16,234.19,3747.04
114,45,37,3,143.51,430.53
115,46,38,10,46.67,466.7
116,46,39,8,50.77,406.16
117,47,26,4,177.46,709.84
118,48,28,6,373.33,2239.98
119,49,48,11,330.35,3633.85
120,49,2,1,55.85,55.85
121,49,4,10,29.49,294.9
122,50,19,8,140.99,1127.92
123,50,26,17,177.46,3016.82
124,50,10,14,285.99,4003.86
125,51,11,20,81.85,1637.0
126,51,5,13,355.46,4620.98
127,52,29,5,200.33,1001.65
128,52,32,8,302.3,2418.4
129,53,38,1,46.67,46.67
130,53,14,15,349.15,5237.25
131,53,28,10,373.33,3733.3
132,53,39,18,50.77,913.86
133,54,5,12,355.46,4265.52
134,54,28,10,373.33,3733.3
135,55,40,10,366.59,3665.9
136,55,14,7,349.15,2444.05
137,55,28,13,373.33,4853.29
138,55,46,16,136.62,2185.92
139,56,13,13,109.58,1424.54
140,57,32,10,302.3,3023.0
141,57,16,1,190.77,190.77
142,57,40,13,366.59,4765.67
143,58,2,3,55.85,167.55
144,58,32,2,302.3,604.6
145,58,46,20,136.62,2732.4
146,59,45,8,183.47,1467.76
147,59,48,20,330.35,6607.0
148,59,16,12,190.77,2289.24
149,59,42,8,108.45,867.6
150,60,37,5,143.51,717.55
151,60,14,4,349.15,1396.6
152,61,16,15,190.77,2861.55
153,62,32,12,302.3,3627.6
154,63,5,11,355.46,3910.06
155,63,16,14,190.77,2670.78
156,64,12,18,286.46,5156.28
157,64,10,12,285.99,3431.88
158,65,45,16,183.47,2935.52
159,65,11,10,81.85,818.5
160,65,14,11,349.15,3840.65
161,66,28,3,373.33,1119.99
162,67,42,13,108.45,1409.85
163,67,13,12,109.58,1314.96
164,68,43,13,29.51,383.63
165,69,14,18,349.15,6284.7
166,70,28,12,373.33,4479.96
167,71,32,12,302.3,3627.6
168,71,25,4,306.11,1224.44
169,71,45,8,183.47,1467.76
170,72,2,2,55.85,111.7
171,72,37,20,143.51,2870.2
172,72,48,8,330.35,2642.8
173,72,31,3,184.55,553.65
174,73,40,4,366.59,1466.36
175,73,16,5,190.77,953.85
176,73,38,2,46.67,93.34
177,73,26,2,177.46,354.92
178,74,29,18,200.33,3605.94
179,74,8,5,39.62,198.1
180,74,13,13,109.58,1424.54
181,75,19,18,140.99,2537.82
182,75,39,14,50.77,710.78
183,75,41,19,178.03,3382.57
184,75,40,5,366.59,1832.95
185,76,38,20,46.67,933.4
186,76,8,14,39.62,554.68
