SaleID,SaleDateTime,StaffID,TotalAmount,PaymentMethod
1,2025-10-26 16:09:00,3,7522.88,Cash
2,2025-01-22 12:23:00,2,4576.19,Card
3,2025-04-18 18:15:00,4,8724.8,Cash
4,2025-07-01 20:35:00,3,5830.8,Cash
5,2026-04-19 11:55:00,2,10904.4,Cash
6,2026-03-28 14:01:00,2,759.15,Card
7,2026-02-05 14:51:00,4,1352.07,Cash
8,2025-05-17 10:50:00,4,1352.85,Cash
9,2025-07-15 08:54:00,3,2661.9,Cash
10,2025-04-13 15:22:00,3,5611.51,Cash
11,2025-04-25 08:42:00,2,2069.15,Card
12,2025-06-18 12:55:00,2,1849.98,Card
13,2025-06-29 18:32:00,3,176.94,Card
14,2026-04-26 08:07:00,3,7259.04,Cash
15,2025-10-25 12:02:00,2,3733.3,Card
16,2025-06-26 19:50:00,3,10213.1,Card
17,2025-11-07 16:07:00,3,8662.53,Cash
18,2025-05-11 08:45:00,3,976.05,Cash
19,2025-09-24 20:34:00,4,650.7,Cash
20,2025-07-06 14:04:00,4,13468.13,Card
21,2025-11-16 13:42:00,2,2403.96,Card
22,2025-09-17 12:42:00,3,4704.21,Card
23,2025-07-26 19:18:00,4,4278.13,Cash
24,2025-04-09 14:42:00,3,2107.71,Cash
25,2025-11-12 17:19:00,3,6291.97,Cash
26,2025-06-05 12:13:00,3,11723.63,Card
27,2025-08-27 15:28:00,4,2578.14,Cash
28,2025-09-19 15:50:00,4,4545.64,Cash
29,2025-12-04 09:18:00,4,933.4,Card
30,2025-02-17 20:15:00,4,5139.2,Card
31,2025-04-26 20:12:00,2,2583.7,Cash
32,2025-01-24 11:30:00,4,438.32,Cash
33,2025-08-22 14:56:00,4,6793.52,Cash
34,2026-01-03 19:24:00,3,8341.96,Card
35,2025-05-05 10:41:00,4,6206.02,Cash
36,2026-04-03 20:55:00,2,6468.31,Card
37,2025-04-23 10:51:00,4,13046.33,Card
38,2025-01-26 16:15:00,2,11503.99,Card
39,2025-03-10 20:29:00,4,7523.27,Card
40,2026-01-22 15:39:00,4,4861.83,Card
41,2026-03-02 16:28:00,2,6819.97,Card
42,2025-08-19 12:48:00,2,890.15,Card
43,2026-01-28 20:33:00,3,12861.04,Cash
44,2025-05-21 15:04:00,4,10710.9,Card
45,2025-05-01 12:21:00,3,430.53,Cash
46,2025-03-12 10:14:00,3,872.86,Cash
47,2025-12-28 11:04:00,3,709.84,Card
48,2025-06-19 16:29:00,3,2239.98,Cash
49,2025-04-16 14:24:00,4,3984.6,Cash
50,2026-03-15 20:36:00,3,8148.6,Card
51,2025-01-04 13:19:00,3,6257.98,Card
52,2025-10-03 19:47:00,4,3420.05,Cash
53,2025-09-07 11:17:00,3,9931.08,Card
54,2025-01-15 14:21:00,4,7998.82,Card
55,2026-01-06 10:53:00,3,13149.16,Cash
56,2025-11-15 16:01:00,3,1424.54,Cash
57,2025-02-12 18:27:00,2,7979.44,Card
58,2025-04-04 08:16:00,3,3504.55,Card
59,2025-04-19 15:20:00,3,11231.6,Card
60,2025-05-23 20:53:00,3,2114.15,Card
61,2026-03-04 09:30:00,2,2861.55,Cash
62,2025-06-29 11:41:00,2,3627.6,Cash
63,2026-01-22 08:15:00,2,6580.84,Cash
64,2025-11-15 10:15:00,2,8588.16,Card
65,2025-12-09 09:36:00,2,7594.67,Card
66,2025-12-25 12:49:00,3,1119.99,Cash
67,2025-11-07 17:47:00,4,2724.81,Cash
68,2026-02-03 10:19:00,2,383.63,Cash
69,2026-04-21 12:36:00,4,6284.7,Card
70,2025-07-23 19:12:00,2,4479.96,Cash
71,2025-02-22 19:49:00,3,6319.8,Cash
72,2026-02-12 17:50:00,2,6178.35,Card
73,2025-09-30 14:42:00,3,2868.47,Cash
74,2025-09-17 18:21:00,2,5228.58,Card
75,2026-02-26 15:06:00,3,8464.12,Card
76,2025-11-22 15:45:00,2,3539.97,Card
77,2025-04-01 19:33:00,4,6245.8,Card
78,2025-11-12 20:58:00,4,6668.12,Card
79,2025-08-27 14:52:00,4,355.39,Card
80,2025-06-15 11:53:00,2,324.39,Card
81,2026-03-28 15:15:00,3,5640.38,Card
82,2025-06-22 08:31:00,3,3302.46,Cash
83,2025-09-07 11:22:00,3,5569.46,Card
84,2025-05-24 17:44:00,3,920.55,Cash
85,2025-09-22 11:05:00,2,3683.72,Card
86,2025-09-08 16:48:00,2,285.99,Card
87,2025-11-27 19:31:00,3,2247.99,Cash
88,2025-02-17 12:14:00,3,5986.81,Cash
89,2025-06-06 18:37:00,3,3004.95,Card
90,2025-10-11 16:22:00,3,9877.01,Card
91,2025-06-30 19:29:00,3,3026.51,Card
92,2025-05-09 11:07:00,4,1605.08,Cash
93,2025-06-11 09:47:00,4,5513.89,Cash
94,2025-04-09 11:47:00,3,8918.94,Card
95,2026-01-06 17:48:00,4,10224.16,Card
96,2025-02-21 11:18:00,2,8101.29,Card
97,2025-04-02 12:00:00,4,5706.37,Cash
98,2025-05-21 08:03:00,4,6012.49,Card
99,2025-12-24 10:40:00,3,8456.39,Cash
100,2026-03-23 08:36:00,3,1518.84,Card
